Class;Units;Avg_Mass (kg);Avg_Purchase;Purchase_Min;Purchase_Max;Start_date;End_date;Year;Month
BS;6.0;76.45;18.43;11.0;27.6;2017/03/06;2017/03/12;2017;3
PP;2981.0;52.47;26.85;22.5;31.5;2017/03/06;2017/03/12;2017;3
PO;435.0;53.7;28.04;26.0;29.08;2017/03/06;2017/03/12;2017;3
PR;69.0;54.31;28.09;20.0;29.0;2017/03/06;2017/03/12;2017;3
PC;5.0;51.16;26.54;25.0;29.0;2017/03/06;2017/03/12;2017;3
PS;7.0;40.75;18.46;17.5;20.0;2017/03/06;2017/03/12;2017;3
SAB;87.0;131.19;15.76;8.0;25.0;2017/03/06;2017/03/12;2017;3
HP;3384.0;85.32;26.06;22.3;29.06;2017/03/06;2017/03/12;2017;3
HO;4115.0;86.28;26.33;19.0;29.16;2017/03/06;2017/03/12;2017;3
HR;811.0;88.09;25.45;22.5;28.75;2017/03/06;2017/03/12;2017;3
HC;68.0;90.96;20.34;19.0;27.3;2017/03/06;2017/03/12;2017;3
HU;7.0;91.71;18.77;16.0;27.3;2017/03/06;2017/03/12;2017;3
HS;8.0;90.94;13.17;9.4;27.3;2017/03/06;2017/03/12;2017;3
CP;1881.0;65.56;28.08;21.5;29.98;2017/03/06;2017/03/12;2017;3
CO;303.0;64.52;27.95;17.0;30.0;2017/03/06;2017/03/12;2017;3
CR;30.0;59.32;27.95;23.0;28.5;2017/03/06;2017/03/12;2017;3
CU;1.0;65.7;13.0;13.0;13.0;2017/03/06;2017/03/12;2017;3
CS;1.0;65.3;11.0;11.0;11.0;2017/03/06;2017/03/12;2017;3
SAS;428.0;160.68;17.51;15.0;20.41;2017/03/06;2017/03/12;2017;3
A2;7296.0;27232.0;4691.0;4711.0;4615.0;2018/03/12;2018/03/18;2018;3
A3;1143.0;29443.0;4687.0;4749.0;4648.0;2018/03/12;2018/03/18;2018;3
AB2;667.0;26087.0;4560.0;4620.0;4454.0;2018/03/12;2018/03/18;2018;3
AB3;75.0;28312.0;4538.0;4634.0;4534.0;2018/03/12;2018/03/18;2018;3
B2;296.0;24985.0;4266.0;4345.0;4184.0;2018/03/12;2018/03/18;2018;3
B3;85.0;25783.0;4260.0;4353.0;4238.0;2018/03/12;2018/03/18;2018;3
C2;1006.0;25519.0;4174.0;4189.0;4025.0;2018/03/12;2018/03/18;2018;3
C3;393.0;26082.0;4231.0;4240.0;4190.0;2018/03/12;2018/03/18;2018;3
A0;6.0;1568.0;5339.0;5577.0;3200.0;2018/03/12;2018/03/18;2018;3
A1;240.0;1625.0;6970.0;6916.0;6601.0;2018/03/12;2018/03/18;2018;3
A2;8055.0;2108.0;6945.0;7099.0;6875.0;2018/03/12;2018/03/18;2018;3
A3;1205.0;2257.0;6984.0;7125.0;6980.0;2018/03/12;2018/03/18;2018;3
A4;300.0;2257.0;6227.0;6315.0;6108.0;2018/03/12;2018/03/18;2018;3
A5;43.0;2347.0;5406.0;5565.0;5261.0;2018/03/12;2018/03/18;2018;3
A6;47.0;2358.0;5226.0;5267.0;5114.0;2018/03/12;2018/03/18;2018;3
AB2;113.0;2127.0;5984.0;6410.0;5767.0;2018/03/12;2018/03/18;2018;3
AB3;45.0;2260.0;6034.0;6587.0;5768.0;2018/03/12;2018/03/18;2018;3
