Type;Class;Units;Avg_Mass (kg);Avg_Purchase;Avg_Selling;Selling_Min;Selling_Max;Start_date;End_date
Cattle;B3;134.0;301.96;32.38;33.43;29.0;36.1;2016/07/25;2016/07/31
Cattle;C2;2273.0;255.18;29.67;30.67;27.53;32.7;2016/07/25;2016/07/31
Cattle;C3;614.0;283.46;30.14;28.85;26.94;32.95;2016/07/25;2016/07/31
Cattle;A2;10104.0;262.96;38.17;37.98;36.88;40.07;2016/08/08;2016/08/14
Cattle;A3;1493.0;278.07;38.16;37.82;36.88;40.0;2016/08/08;2016/08/14
Cattle;AB2;534.0;269.68;36.23;36.7;31.39;41.17;2016/08/08;2016/08/14
Cattle;AB3;111.0;311.26;35.12;36.06;33.7;41.17;2016/08/08;2016/08/14
Cattle;B2;519.0;261.61;32.77;33.4;29.24;36.1;2016/08/08;2016/08/14
Cattle;B3;152.0;298.02;32.4;32.74;29.27;36.1;2016/08/08;2016/08/14
Cattle;C2;2046.0;254.34;30.41;31.08;28.0;34.86;2016/08/08;2016/08/14
Cattle;C3;646.0;291.6;30.39;31.51;28.0;34.86;2016/08/08;2016/08/14
Cattle;A2;9646.0;263.9;38.16;37.63;35.5;39.97;2016/08/15;2016/08/21
Cattle;A3;1280.0;278.03;38.0;37.81;35.0;39.17;2016/08/15;2016/08/21
Cattle;AB2;501.0;269.48;36.52;37.07;31.0;39.21;2016/08/15;2016/08/21
Cattle;AB3;120.0;294.76;35.32;35.54;32.23;39.8;2016/08/15;2016/08/21
Cattle;B2;373.0;258.33;33.22;33.79;29.96;38.82;2016/08/15;2016/08/21
Cattle;B3;76.0;286.08;32.67;33.41;29.96;39.8;2016/08/15;2016/08/21
Cattle;C2;1389.0;248.77;30.81;31.42;29.0;34.5;2016/08/15;2016/08/21
Cattle;C3;357.0;287.86;31.22;31.94;29.0;34.5;2016/08/15;2016/08/21
Cattle;A2;12647.0;258.87;38.31;37.82;36.0;41.11;2016/08/22;2016/08/28
Cattle;A3;1684.0;275.04;37.79;37.85;36.5;40.0;2016/08/22;2016/08/28
Cattle;AB2;565.0;266.96;36.68;36.24;31.0;40.35;2016/08/22;2016/08/28
Cattle;AB3;117.0;290.63;36.24;36.28;32.0;39.8;2016/08/22;2016/08/28
Cattle;B2;486.0;251.37;32.94;33.7;30.0;40.35;2016/08/22;2016/08/28
Cattle;B3;102.0;291.39;33.31;34.27;30.25;40.35;2016/08/22;2016/08/28
Cattle;C2;2050.0;252.28;31.38;31.62;28.0;34.5;2016/08/22;2016/08/28
Cattle;C3;497.0;286.29;31.43;31.98;28.0;34.5;2016/08/22;2016/08/28
Cattle;A2;14134.0;261.56;38.45;38.58;35.73;41.94;2016/08/29;2016/09/04
Cattle;A3;4796.0;269.88;38.46;38.99;36.0;40.0;2016/08/29;2016/09/04
Cattle;AB2;518.0;274.49;36.8;36.74;29.5;41.51;2016/08/29;2016/09/04
Cattle;AB3;104.0;289.54;36.23;36.86;34.5;39.9;2016/08/29;2016/09/04
Cattle;B2;451.0;255.5;33.62;33.99;30.0;37.0;2016/08/29;2016/09/04
Cattle;B3;88.0;293.01;33.63;34.04;31.0;36.1;2016/08/29;2016/09/04
Cattle;C2;2036.0;249.57;31.49;31.72;29.0;34.5;2016/08/29;2016/09/04
Cattle;C3;668.0;283.91;31.61;32.08;29.0;34.5;2016/08/29;2016/09/04
Cattle;A2;11394.0;257.24;38.33;37.85;36.5;43.0;2016/09/05;2016/09/11
