Date,Product,Variety,Class,Size,Package,Unit(kg),Closing Price,High Price,Low Price,Average Price,Total Sales(Rand),Sales Quantity,Closing Stock,Day,Month,Week
2023-02-14,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,12,14,2,7
2023-02-13,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,92.22,150.0,80.0,115.0,830,9,50,13,2,7
2023-02-13,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,12,13,2,7
2023-02-10,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,169.73,250.0,10.0,130.0,25290,149,98,10,2,6
2023-02-10,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,10.0,10.0,10.0,10.0,160,16,0,10,2,6
2023-02-10,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,204.0,250.0,200.0,225.0,20400,100,12,10,2,6
2023-02-09,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,167.52,300.0,60.0,180.0,17590,105,100,9,2,6
2023-02-09,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,100.0,100.0,100.0,100.0,200,2,16,9,2,6
2023-02-09,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,12,9,2,6
2023-02-08,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,174.78,250.0,100.0,175.0,8040,46,92,8,2,6
2023-02-08,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,0.0,0.0,0.0,0.0,0,0,18,8,2,6
2023-02-08,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,80.0,80.0,80.0,80.0,320,4,12,8,2,6
2023-02-07,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,168.68,250.0,70.0,160.0,30870,183,138,7,2,6
2023-02-07,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,112.85,120.0,60.0,90.0,1580,14,18,7,2,6
2023-02-07,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,72.5,100.0,50.0,75.0,1450,20,16,7,2,6
2023-02-07,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,168.68,250.0,70.0,160.0,30870,183,138,7,2,6
2023-02-07,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,112.85,120.0,60.0,90.0,1580,14,18,7,2,6
2023-02-07,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,72.5,100.0,50.0,75.0,1450,20,16,7,2,6
2023-02-06,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,130.78,180.0,40.0,110.0,9940,76,49,6,2,6
2023-02-06,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,60.0,60.0,60.0,60.0,600,10,20,6,2,6
2023-02-06,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,118.18,150.0,100.0,125.0,5200,44,36,6,2,6
2023-02-03,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,168.98,250.0,10.0,130.0,26700,158,125,3,2,5
2023-02-03,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,142.0,200.0,100.0,150.0,7100,50,86,3,2,5
2023-02-02,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,204.61,250.0,50.0,150.0,26805,131,60,2,2,5
2023-02-02,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,60.0,60.0,60.0,60.0,2640,44,0,2,2,5
2023-02-02,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,200.0,200.0,200.0,200.0,8800,44,136,2,2,5
2023-02-01,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,242.26,350.0,120.0,235.0,28830,119,16,1,2,5
2023-02-01,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,5,1,2,5
2023-01-31,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,208.41,250.0,150.0,200.0,21050,101,36,31,1,5
2023-01-31,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,5,31,1,5
2023-01-30,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,188.75,200.0,20.0,110.0,3020,16,37,30,1,5
2023-01-30,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,160.0,160.0,160.0,160.0,800,5,0,30,1,5
2023-01-30,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,5,30,1,5
2023-01-27,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,130.65,220.0,50.0,135.0,7970,61,101,27,1,4
2023-01-27,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,80.0,80.0,80.0,80.0,2400,30,0,27,1,4
2023-01-27,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,5,27,1,4
2023-01-27,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,130.65,220.0,50.0,135.0,7970,61,101,27,1,4
2023-01-27,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,80.0,80.0,80.0,80.0,2400,30,0,27,1,4
2023-01-27,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,5,27,1,4
2023-01-26,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,163.08,250.0,10.0,130.0,23810,146,136,26,1,4
2023-01-26,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,5,26,1,4
2023-01-25,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,162.08,280.0,10.0,145.0,21720,134,171,25,1,4
2023-01-25,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,5,25,1,4
2023-01-24,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,198.03,250.0,40.0,145.0,11090,56,260,24,1,4
2023-01-24,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,76.25,100.0,50.0,75.0,610,8,5,24,1,4
2023-01-23,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,141.02,200.0,40.0,120.0,9590,68,254,23,1,4
2023-01-23,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,104.16,150.0,100.0,125.0,1250,12,13,23,1,4
2023-01-20,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,STANDARD TRAY,5.0,36.21,40.0,30.0,35.0,1340,37,0,20,1,3
2023-01-20,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,223.38,320.0,30.0,175.0,30380,136,347,20,1,3
2023-01-20,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,80.0,80.0,80.0,80.0,1600,20,0,20,1,3
2023-01-20,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,134.8,200.0,120.0,160.0,7010,52,32,20,1,3
2023-01-19,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,110.8,300.0,10.0,155.0,6870,62,108,19,1,3
2023-01-19,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,DOUBBLE LAYER TRAY,6.0,0.0,0.0,0.0,0.0,0,0,165,19,1,3
2023-01-19,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,159.7,200.0,150.0,175.0,10700,67,84,19,1,3
2023-01-18,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,130.46,250.0,30.0,140.0,8350,64,92,18,1,3
2023-01-18,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,DOUBBLE LAYER TRAY,6.0,0.0,0.0,0.0,0.0,0,0,165,18,1,3
2023-01-18,CAULIFLOWER,NO VARIETY,NOT GRADED,NO SIZE,HALF POCKET,5.0,108.0,108.0,108.0,108.0,2160,20,0,18,1,3
2023-04-06,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,207.59,320.0,144.0,232.0,10172,49,1,6,4,14
2023-04-04,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,225.0,300.0,150.0,225.0,1350,6,3,4,4,14
2023-04-03,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,300.0,300.0,300.0,300.0,900,3,1,3,4,14
2023-04-03,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.5,12.0,12.0,12.0,12.0,1248,104,0,3,4,14
2023-03-31,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,0.0,0.0,0.0,0.0,0,0,1,31,3,13
2023-03-30,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,212.19,300.0,200.0,250.0,8700,41,1,30,3,13
2023-03-30,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,99.6,100.0,80.0,90.0,5080,51,0,30,3,13
2023-03-29,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,0.0,0.0,0.0,0.0,0,0,1,29,3,13
2023-03-29,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,112.7,150.0,75.0,112.5,11270,100,1,29,3,13
2023-03-29,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,0.0,0.0,0.0,0.0,0,0,1,29,3,13
2023-03-29,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,112.7,150.0,75.0,112.5,11270,100,1,29,3,13
2023-03-28,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,206.4,300.0,144.0,222.0,1032,5,1,28,3,13
2023-03-28,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,10.0,10.0,10.0,10.0,280,28,1,28,3,13
2023-03-27,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,310.0,320.0,300.0,310.0,620,2,3,27,3,13
2023-03-27,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.5,10.0,10.0,10.0,10.0,300,30,0,27,3,13
2023-03-27,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,100.0,100.0,100.0,100.0,100,1,29,27,3,13
2023-03-27,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,310.0,320.0,300.0,310.0,620,2,3,27,3,13
2023-03-27,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET,0.5,10.0,10.0,10.0,10.0,300,30,0,27,3,13
2023-03-27,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,100.0,100.0,100.0,100.0,100,1,29,27,3,13
2023-03-22,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,183.62,280.0,144.0,212.0,9732,53,1,22,3,12
2023-03-22,CELERY,NO VARIETY,NOT GRADED,NO SIZE,PUNNET PACK (Pre Pack),10.0,0.0,0.0,0.0,0.0,0,0,28,22,3,12
2023-03-22,CELERY,NO VARIETY,NOT GRADED,NO SIZE,BOX,10.0,183.62,280.0,144.0,212.0,9732,53,1,22,3,12
