Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max
C2,395,22.09,50.13,54.14,46.00,60.44
C3,33,25.39,52.35,57.54,52.71,60.00
B2,202,252.53,38.14,39.29,38.19,42.60
B3,53,303.63,38.37,40.70,38.27,42.50
C2,817,257.65,37.88,40.55,37.94,42.00
C3,314,286.22,38.10,41.19,38.26,42.00
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,87,14.16,49.86,60.40,58.57,60.88
A1,209,15.24,60.90,64.47,59.61,69.23
A2,5815,21.18,66.08,69.74,64.09,72.70
A3,899,22.91,65.75,70.46,68.22,72.02
A4,106,21.70,52.59,61.48,57.84,62.44
A5,20,24.00,43.71,52.34,48.25,59.94
A6,29,19.17,43.21,54.28,50.82,57.44
AB2,96,21.59,55.29,58.55,50.70,64.65
AB3,16,25.11,54.24,57.68,50.00,64.43
B2,180,22.14,54.36,59.07,54.83,62.17
B3,45,24.80,48.33,59.04,55.86,60.00
C2,1257,22.79,49.94,53.96,52.64,56.03
C3,254,24.74,49.94,54.41,53.19,56.62
A2,8640,255.85,48.12,47.34,39.50,49.83
A3,1235,269.09,48.14,49.36,45.41,51.00
AB2,524,244.97,44.38,43.87,36.69,49.59
AB3,135,273.30,45.68,45.81,43.48,48.94
B2,326,240.53,38.77,39.74,35.71,43.43
B3,91,269.87,40.49,40.78,37.83,45.58
C2,1432,251.14,36.73,37.53,36.19,39.37
C3,452,272.90,36.57,37.27,35.95,38.50
A0,230,14.46,51.92,52.38,49.35,56.02
A2,10741,19.84,65.22,64.67,60.91,67.68
A3,1319,21.77,65.39,64.20,60.18,66.78
A4,210,21.05,56.56,58.69,56.97,63.37
A5,39,20.30,51.84,52.79,48.27,60.71
A6,48,19.18,50.00,51.57,47.36,54.79
AB2,208,19.21,51.26,53.79,42.94,59.32
AB3,43,22.14,53.60,55.97,53.63,60.93
B2,283,21.66,47.82,50.95,47.27,54.46
B3,38,26.08,48.57,51.07,50.39,57.22
C2,1206,23.39,44.56,45.99,41.44,52.25
C3,260,25.64,42.98,46.58,42.52,51.32
PIGS,Units,Avg,Avg,Purch,Purch,Purch
B2,413,272.13,39.21,41.93,37.66,43.84
B3,113,297.32,39.55,41.24,39.53,43.51
C2,1188,258.70,37.70,39.94,36.72,42.50
C3,463,282.90,37.99,40.60,38.25,42.50
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max
A0,91,14.70,49.27,57.31,50.50,59.19
A1,314,15.33,59.51,64.25,59.19,68.76
A2,6367,20.41,63.71,69.03,62.97,71.53
A3,1178,20.97,64.18,70.08,67.55,71.08
A4,167,21.03,52.54,62.24,59.29,63.71
A5,8,19.76,43.81,51.29,47.80,53.85
A6,43,21.02,44.21,53.15,50.51,62.00
AB2,58,18.19,53.48,55.35,52.00,62.60
AB3,4,18.83,53.86,63.11,60.00,69.00
B2,192,23.92,55.32,60.39,56.74,62.49
B3,25,24.53,49.13,60.45,55.82,62.35
