0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
BS,5,71.56,22.94,18.00,26.50,,,,,,,,,,,,,,,,,,,
PP,2350,51.56,29.14,27.23,32.47,,,,,,,,,,,,,,,,,,,
PO,146,51.28,30.00,27.36,32.50,,,,,,,,,,,,,,,,,,,
PR,16,48.79,22.69,19.20,28.50,,,,,,,,,,,,,,,,,,,
PC,4,51.58,20.13,15.00,28.00,,,,,,,,,,,,,,,,,,,
PU,1,47.60,10.00,10.00,10.00,,,,,,,,,,,,,,,,,,,
PS,1,45.90,27.50,27.50,27.50,,,,,,,,,,,,,,,,,,,
SAS,74,132.20,17.81,8.00,21.00,,,,,,,,,,,,,,,,,,,
HP,2,560,85.62,25.91,22.30,30.50,,,,,,,,,,,,,,,,,,
HO,2906,86.73,25.96,22.30,29.00,,,,,,,,,,,,,,,,,,,
HR,535,88.47,25.85,24.82,31.00,,,,,,,,,,,,,,,,,,,
HC,47,87.80,20.56,16.36,26.70,,,,,,,,,,,,,,,,,,,
HU,4,84.52,18.38,14.00,19.78,,,,,,,,,,,,,,,,,,,
HS,4,91.43,11.39,9.40,16.03,,,,,,,,,,,,,,,,,,,
CP,1996,65.91,27.68,20.28,31.00,,,,,,,,,,,,,,,,,,,
CO,534,71.22,27.52,22.40,31.00,,,,,,,,,,,,,,,,,,,
CR,32,70.65,27.03,22.91,28.50,,,,,,,,,,,,,,,,,,,
CU,1,74.90,27.50,27.50,27.50,,,,,,,,,,,,,,,,,,,
SAS,480,163.08,17.62,14.56,20.80,,,,,,,,,,,,,,,,,,,
21876,,,,,,,,,,,,,,,,,,,,,,,,
44,46,48,50,522016,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,
5254565860626466687072,,,,,,,,,,,,,,,,,,,,,,,,
44464850522016,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,
202224262830,,,,,,,,,,,,,,,,,,,,,,,,
44,46,48,50,522016,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max2018/12/31,To,2019/01/06,,,,,,,,,,,,,,,,
A2,6,595,"284,46","45,08","46,68","44,41","48,51",Hide,Feedlot,"5,10",,,,,,,,,,,,,,
A3,"967304,61","45,10","47,13","45,90","48,62Hide",Field,"4,67",,,,,,,,,,,,,,,,,
AB2,296,"292,06","44,19","45,59","43,48","48,68",Dorper,ea,"33,00",,,,,,,,,,,,,,,
AB3,72,"314,53","44,39","45,26","43,00","49,51",Merino,ea,"96,69",,,,,,,,,,,,,,,
B2,117,"292,14","41,75","42,10","39,87","43,24",,,,,,,,,,,,,,,,,,
B3,47,"337,19","42,26","42,26","41,28","42,50",,,,,,,,,,,,,,,,,,
C2,310,"283,91","40,24","40,57","39,13","41,31",,,,,,,,,,,,,,,,,,
C3,51,"323,49","39,90","40,03","39,38","40,92",,,,,,,,,,,,,,,,,,
8,455,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max,,,,,,,,,,,,,,,,,,
A0,120,"8,78","47,45","60,61","60,61","60,61",,,,,,,,,,,,,,,,,,
A1,332,"11,47","68,86","69,12","68,84","69,85",,,,,,,,,,,,,,,,,,
A2,5,289,"21,76","71,71","72,35","71,56","75,22",,,,,,,,,,,,,,,,,
A3,905,"23,59","71,55","71,74","71,13","73,83",,,,,,,,,,,,,,,,,,
A4,105,"24,55","63,75","64,35","62,74","69,35",,,,,,,,,,,,,,,,,,
A5,4,"27,88","52,63","53,91","53,91","53,91",,,,,,,,,,,,,,,,,,
A6,21,"24,75","53,15","52,42","52,42","52,42",,,,,,,,,,,,,,,,,,
AB2,166,"22,79","67,93","69,68","64,28","72,23",,,,,,,,,,,,,,,,,,
AB3,14,"29,70","71,86","72,23","72,23","72,23",,,,,,,,,,,,,,,,,,
B2,120,"22,14","61,12","64,39","63,93","65,27",,,,,,,,,,,,,,,,,,
B3,6,"25,53","57,91","61,19","55,88","68,50",,,,,,,,,,,,,,,,,,
C2,349,"22,84","55,19","58,57","54,52","63,58",,,,,,,,,,,,,,,,,,
C3,64,"25,98","53,65","56,35","54,32","61,94",,,,,,,,,,,,,,,,,,
7,495,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Purch_min,Purch_max,,,,,,,,,,,,,,,,,,,
P,1,399,"50,97","29,89","27,29","30,51",,,,,,,,,,,,,,,,,,
O,40,"49,12","27,63","24,65","30,50",,,,,,,,,,,,,,,,,,,
R,8,"51,68","36,31","19,25","48,93",,,,,,,,,,,,,,,,,,,
C,3,"57,20","25,94","19,25","29,50",,,,,,,,,,,,,,,,,,,
U,"160,50","29,50","29,50","29,50",,,,,,,,,,,,,,,,,,,,
P,656,"60,99","28,98","26,79","30,40",,,,,,,,,,,,,,,,,,,
O,35,"60,87","29,32","28,42","30,84",,,,,,,,,,,,,,,,,,,
R,4,"60,58","29,48","27,50","31,00",,,,,,,,,,,,,,,,,,,
C,1,"61,00","19,00","19,00","19,00",,,,,,,,,,,,,,,,,,,
P,3,348,"75,22","28,24","26,24","29,04",,,,,,,,,,,,,,,,,,
